"Month","HabitatUse","N","Species"
9,"Plowed",0,"Barnacle"
9,"Rape",0,"Barnacle"
9,"Stubble",92,"Barnacle"
9,"Stubble undersown",0,"Barnacle"
9,"UnharvestedBarley",0,"Barnacle"
9,"WinterCereal",1,"Barnacle"
10,"Grass",1119,"Barnacle"
10,"Maize",475,"Barnacle"
10,"Plowed",1400,"Barnacle"
10,"Rape",585,"Barnacle"
10,"Stubble",6073,"Barnacle"
10,"Stubble undersown",12669,"Barnacle"
10,"UnharvestedBarley",1205,"Barnacle"
10,"WinterCereal",3190,"Barnacle"
11,"Grass",3297,"Barnacle"
11,"Maize",660,"Barnacle"
11,"Plowed",1740,"Barnacle"
11,"Stubble",17121,"Barnacle"
11,"Stubble undersown",4172,"Barnacle"
11,"UnharvestedBarley",5805,"Barnacle"
11,"WinterCereal",30864,"Barnacle"
12,"Grass",19881,"Barnacle"
12,"Maize",0,"Barnacle"
12,"Plowed",285,"Barnacle"
12,"Stubble",2492,"Barnacle"
12,"Stubble undersown",18756,"Barnacle"
12,"WinterCereal",36343,"Barnacle"
1,"Grass",22920,"Barnacle"
1,"Maize",0,"Barnacle"
1,"Plowed",0,"Barnacle"
1,"Stubble",3340,"Barnacle"
1,"Stubble undersown",30858,"Barnacle"
1,"WinterCereal",14214,"Barnacle"
9,"Plowed",0,"Greylag"
9,"Rape",0,"Greylag"
9,"Stubble",3252,"Greylag"
9,"Stubble undersown",2955,"Greylag"
9,"UnharvestedBarley",423,"Greylag"
9,"WinterCereal",1772,"Greylag"
10,"Grass",463,"Greylag"
10,"Maize",866,"Greylag"
10,"Plowed",110,"Greylag"
10,"Rape",0,"Greylag"
10,"Stubble",1829,"Greylag"
10,"Stubble undersown",5222,"Greylag"
10,"UnharvestedBarley",7,"Greylag"
10,"WinterCereal",612,"Greylag"
11,"Grass",2651,"Greylag"
11,"Maize",22,"Greylag"
11,"Plowed",21,"Greylag"
11,"Stubble",656,"Greylag"
11,"Stubble undersown",4130,"Greylag"
11,"UnharvestedBarley",121,"Greylag"
11,"WinterCereal",2222,"Greylag"
12,"Grass",2682,"Greylag"
12,"Maize",4,"Greylag"
12,"Plowed",0,"Greylag"
12,"Stubble",278,"Greylag"
12,"Stubble undersown",1543,"Greylag"
12,"WinterCereal",1580,"Greylag"
1,"Grass",2774,"Greylag"
1,"Maize",618,"Greylag"
1,"Plowed",0,"Greylag"
1,"Stubble",117,"Greylag"
1,"Stubble undersown",2738,"Greylag"
1,"WinterCereal",2234,"Greylag"
9,"Plowed",90,"Pinkfoot"
9,"Rape",45,"Pinkfoot"
9,"Stubble",8642,"Pinkfoot"
9,"Stubble undersown",2626,"Pinkfoot"
9,"UnharvestedBarley",6245,"Pinkfoot"
9,"WinterCereal",3455,"Pinkfoot"
10,"Grass",2,"Pinkfoot"
10,"Maize",22,"Pinkfoot"
10,"Plowed",60,"Pinkfoot"
10,"Rape",61,"Pinkfoot"
10,"Stubble",19890,"Pinkfoot"
10,"Stubble undersown",2033,"Pinkfoot"
10,"UnharvestedBarley",5978,"Pinkfoot"
10,"WinterCereal",6259,"Pinkfoot"
11,"Grass",41,"Pinkfoot"
11,"Maize",7,"Pinkfoot"
11,"Plowed",0,"Pinkfoot"
11,"Stubble",3134,"Pinkfoot"
11,"Stubble undersown",386,"Pinkfoot"
11,"UnharvestedBarley",455,"Pinkfoot"
11,"WinterCereal",137,"Pinkfoot"
12,"Grass",1787,"Pinkfoot"
12,"Maize",81,"Pinkfoot"
12,"Plowed",0,"Pinkfoot"
12,"Stubble",1121,"Pinkfoot"
12,"Stubble undersown",120,"Pinkfoot"
12,"WinterCereal",5455,"Pinkfoot"
1,"Grass",9826,"Pinkfoot"
1,"Maize",807,"Pinkfoot"
1,"Plowed",0,"Pinkfoot"
1,"Stubble",3292,"Pinkfoot"
1,"Stubble undersown",6468,"Pinkfoot"
1,"WinterCereal",6088,"Pinkfoot"
