month	N	species	habitat
9	0	barnacle	Rape
9	92	barnacle	Stubble
9	0	barnacle	Stubble
9	0	barnacle	Stubble
9	1	barnacle	WinterCereal
10	1119	barnacle	Grass
10	475	barnacle	Maize
10	585	barnacle	Rape
10	6073	barnacle	Stubble
10	12669	barnacle	Stubble
10	1205	barnacle	Stubble
10	3190	barnacle	WinterCereal
11	3297	barnacle	Grass
11	660	barnacle	Maize
11	17121	barnacle	Stubble
11	4172	barnacle	Stubble
11	5805	barnacle	Stubble
11	30864	barnacle	WinterCereal
12	19881	barnacle	Grass
12	0	barnacle	Maize
12	2492	barnacle	Stubble
12	18756	barnacle	Stubble
12	36343	barnacle	WinterCereal
1	22920	barnacle	Grass
1	0	barnacle	Maize
1	3340	barnacle	Stubble
1	30858	barnacle	Stubble
1	14214	barnacle	WinterCereal
9	0	greylag	Rape
9	3252	greylag	Stubble
9	2955	greylag	Stubble
9	423	greylag	Stubble
9	1772	greylag	WinterCereal
10	463	greylag	Grass
10	866	greylag	Maize
10	0	greylag	Rape
10	1829	greylag	Stubble
10	5222	greylag	Stubble
10	7	greylag	Stubble
10	612	greylag	WinterCereal
11	2651	greylag	Grass
11	22	greylag	Maize
11	656	greylag	Stubble
11	4130	greylag	Stubble
11	121	greylag	Stubble
11	2222	greylag	WinterCereal
12	2682	greylag	Grass
12	4	greylag	Maize
12	278	greylag	Stubble
12	1543	greylag	Stubble
12	1580	greylag	WinterCereal
1	2774	greylag	Grass
1	618	greylag	Maize
1	117	greylag	Stubble
1	2738	greylag	Stubble
1	2234	greylag	WinterCereal
9	45	pinkfoot	Rape
9	8642	pinkfoot	Stubble
9	2626	pinkfoot	Stubble
9	6245	pinkfoot	Stubble
9	3455	pinkfoot	WinterCereal
10	2	pinkfoot	Grass
10	22	pinkfoot	Maize
10	61	pinkfoot	Rape
10	19890	pinkfoot	Stubble
10	2033	pinkfoot	Stubble
10	5978	pinkfoot	Stubble
10	6259	pinkfoot	WinterCereal
11	41	pinkfoot	Grass
11	7	pinkfoot	Maize
11	3134	pinkfoot	Stubble
11	386	pinkfoot	Stubble
11	455	pinkfoot	Stubble
11	137	pinkfoot	WinterCereal
12	1787	pinkfoot	Grass
12	81	pinkfoot	Maize
12	1121	pinkfoot	Stubble
12	120	pinkfoot	Stubble
12	5455	pinkfoot	WinterCereal
1	9826	pinkfoot	Grass
1	807	pinkfoot	Maize
1	3292	pinkfoot	Stubble
1	6468	pinkfoot	Stubble
1	6088	pinkfoot	WinterCereal
